Tribunal;Magistrado;Mês/Ano Ref.;Subsídio;Direitos Pessoais ;Indenizações ;Direitos Eventuais ;Total de Rendimentos ;Previdência Pública ;Imposto de Renda;Descontos Diversos ;Retenção por Teto Constitucional ;Total de Descontos ;Rendimento Líquido ;Remuneração do órgão de origem ;Diárias 
TRF1;ABEL CARDOSO MORAIS;12/2020;33.689,11;0,00;910,08;163.145,85;197.745,04;-4.603,04;-20.772,82;-12.630,49;-5.625,39;-43.631,74;154.113,30;0,00;0,00
TRF1;ADELMAR AIRES PIMENTA DA SILVA;12/2020;33.689,11;0,00;1.629,70;11.229,60;46.548,41;-5.497,99;-8.267,95;-2.808,86;-5.625,39;-22.200,19;24.348,22;0,00;0,00
TRF1;ADERSON PEREIRA DUTRA;12/2020;0,00;0,00;0,00;129.645,64;129.645,64;0,00;-16.526,63;0,00;0,00;-16.526,63;113.119,01;0,00;0,00
TRF1;ADONIAS RIBEIRO DE CARVALHO NETO;12/2020;32.004,65;0,00;1.629,70;9.919,58;43.553,93;-5.497,99;-8.372,22;-471,52;-2.630,91;-16.972,64;26.581,29;0,00;0,00
TRF1;ADRIANA HORA SOUTINHO DE PAIVA;12/2020;32.004,65;0,00;1.629,70;6.163,86;39.798,21;-713,08;-8.773,25;-3.662,77;0,00;-13.149,10;26.649,11;0,00;0,00
TRF1;ADRIANE LUISA VIEIRA TRINDADE;12/2020;33.689,11;0,00;1.555,08;73.128,21;108.372,40;-7.925,87;-20.831,48;-80,01;0,00;-28.837,36;79.535,04;0,00;0,00
TRF1;ADRIANE SOARES POMPEU DE SOUSA BRASIL;12/2020;25.835,84;480,82;0,00;0,00;26.316,66;-3.384,14;-5.437,08;-898,00;0,00;-9.719,22;16.597,44;0,00;0,00
TRF1;ADVERCI RATES MENDES DE ABREU;12/2020;33.689,11;5.497,99;910,08;0,00;40.097,18;-5.497,99;-6.883,20;-1.026,01;0,00;-13.407,20;26.689,98;0,00;0,00
TRF1;AFONSO DE ARAUJO RIBEIRO;12/2020;23.133,40;0,00;0,00;179.621,79;202.755,19;-3.860,09;-46.519,87;-611,19;0,00;-50.991,15;151.764,04;0,00;0,00
TRF1;AGLIBERTO GOMES MACHADO;12/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-8.372,22;-471,52;-5.625,49;-19.967,22;25.861,67;0,00;0,00
TRF1;AILTON SCHRAMM DE ROCHA;12/2020;33.689,11;0,00;1.629,70;10.589,41;45.908,22;-6.171,77;-8.134,79;-1.335,37;-4.985,20;-20.627,13;25.281,09;0,00;0,00
